Player,Stars,Nationality,Age,Span,Matches,Not - Out,Runs,High Score,Average,Ball Faced,Strike Rates,100,50,Ducks,4.0s,6.0s,Base Price (Cr)
V Kohli,9,I,34,11-30-07,252,37,8004,113.0*,38.66,6065,131.97,8,55,10,705,272,2
S Dhawan,9,I,37,11-30-07,222,29,6769,106.0*,35.25,5324,127.14,2,51,11,768,152,2
RG Sharma,9,I,36,11-30-07,257,29,6628,109.0*,29.72,5054,131.14,2,43,17,599,280,2
DA Warner,10,F,36,11-30-08,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,2
AM Rahane,7,I,35,11-30-07,185,17,4642,105.0*,30.14,3761,123.42,2,30,13,478,103,1.5
F du Plessis,10,F,39,11-30-11,145,11,4571,96,35.99,3352,136.36,0,37,7,421,166,2
MK Pandey,5,I,34,11-30-07,171,27,3850,114.0*,29.16,3179,121.1,1,22,14,335,110,1
SA Yadav,9,I,33,11-30-11,150,23,3594,103.0*,32.08,2473,145.32,2,24,10,385,130,2
Shubman Gill,9,I,24,11-30-17,103,15,3216,129,37.83,2370,135.69,4,20,4,310,95,2
SS Iyer,7,I,28,11-30-14,116,18,3127,96,32.23,2453,127.47,0,21,6,271,113,1.5
DA Miller,8,F,34,11-30-11,130,43,2924,101.0*,36.09,2100,139.23,1,13,4,207,134,1.5
MA Agarwal,3,I,32,11-30-10,127,4,2661,106,22.74,2000,133.05,1,13,7,263,98,0.5
N Rana,5,I,29,11-30-15,107,9,2636,87,28.65,1952,135.04,0,18,7,234,132,1
RD Gaikwad,7,I,26,11-30-19,66,8,2380,108.0*,41.75,1739,136.86,2,18,6,217,91,1.5
RA Tripathi,5,I,32,11-30-16,95,11,2236,93,27.26,1605,139.31,0,12,4,223,84,1
KS Williamson,8,F,33,11-30-14,79,17,2128,89,35.46,1694,125.61,0,18,2,185,64,1.5
PP Shaw,5,I,23,11-30-17,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,1
YBK Jaiswal,5,I,21,11-30-19,53,2,1607,124,32.14,1067,150.6,2,9,4,198,64,1
D Padikkal,3,I,23,11-30-19,64,2,1559,101.0*,25.14,1266,123.14,1,9,5,169,42,0.5
S Dube,5,I,30,11-30-18,65,11,1502,95.0*,30.04,1024,146.67,0,9,3,86,101,1
DJ Hooda,3,I,28,11-30-14,118,16,1465,64,18.31,1131,129.53,0,8,4,96,61,0.5
Abhishek Sharma,5,I,23,11-30-17,63,7,1377,75.0*,25.5,887,155.24,0,7,2,128,73,1
VR Iyer,5,I,28,11-30-20,51,7,1326,104,31.57,967,137.12,1,11,2,121,61,1
SO Hetmyer,6,F,26,11-30-18,72,26,1243,75,31.07,812,153.07,0,4,2,76,82,1
