Player,Stars,Nationality,Age,Span,Matches,Balls,Overs,Mdns,Runs Conceded,Wkts,Avg,Economy,SR,4,5,Base Price (Cr)
YS Chahal,9,I,33,11-30-12,160,3521,586.5,4,4602,205,22.44,7.84,17.17,6,1,2
B Kumar,9,I,33,11-30-10,176,3910,651.4,14,4929,181,27.23,7.56,21.6,2,2,2
A Mishra,7,I,40,11-30-07,162,3371,561.5,6,4145,174,23.82,7.37,19.37,4,1,1.5
JJ Bumrah,9,I,29,11-30-12,133,3053,508.5,8,3715,165,22.51,7.3,18.5,2,2,2
UT Yadav,3,I,35,11-30-09,148,3050,508.2,5,4317,144,29.97,8.49,21.18,3,0,0.5
Sandeep Sharma,7,I,30,11-30-12,127,2822,470.2,8,3709,137,27.07,7.88,20.59,2,1,1.5
HV Patel,7,I,33,11-30-11,106,2161,360.1,2,3149,135,23.32,8.74,16,2,1,1.5
MM Sharma,7,I,34,11-30-12,112,2253,375.3,0,3256,132,24.66,8.67,17.06,3,1,1.5
TA Boult,6,F,34,11-30-14,104,2337,389.3,11,3230,121,26.69,8.29,19.31,1,0,1
K Rabada,8,F,28,11-30-16,80,1818,303,2,2570,117,21.96,8.48,15.53,6,0,1.5
JD Unadkat,3,I,32,11-30-09,105,2131,355.1,3,3189,99,32.21,8.97,21.52,0,2,0.5
SN Thakur,3,I,31,11-30-14,95,1866,311,3,2869,94,30.52,9.22,19.85,1,0,0.5
Mohammed Siraj,3,I,29,11-30-16,93,1958,326.2,4,2822,93,30.34,8.64,21.05,2,0,0.5
I Sharma,3,I,35,11-30-07,110,2309,384.5,6,3172,92,34.47,8.24,25.09,0,1,0.5
Kuldeep Yadav,5,I,28,11-30-15,84,1746,291,1,2388,87,27.44,8.2,20.06,4,0,1
CV Varun,7,I,34,11-30-18,71,1588,264.4,1,2002,83,24.12,7.56,19.13,1,1,1.5
DL Chahar,5,I,31,11-30-15,81,1669,278.1,6,2221,77,28.84,7.98,21.67,2,0,1
Arshdeep Singh,5,I,24,11-30-18,65,1364,227.2,1,2052,76,27,9.02,17.94,2,1,1
KV Sharma,5,I,32,11-30-08,84,1495,249.1,1,2087,76,27.46,8.37,19.67,2,0,1
RD Chahar,5,I,25,11-30-16,78,1664,277.2,1,2141,75,28.54,7.71,22.18,1,0,1
KK Ahmed,5,I,27,11-30-17,57,1276,212.4,4,1881,74,25.41,8.84,17.24,0,0,1
Avesh Khan,5,I,26,11-30-16,63,1335,222.3,1,1974,74,26.67,8.87,18.04,1,0,1
T Natarajan,5,I,32,11-30-16,61,1337,222.5,2,1969,67,29.38,8.83,19.95,1,0,1
Ravi Bishnoi,5,I,23,11-30-19,66,1411,235.1,1,1836,63,29.14,7.8,22.39,0,0,1
Mustafizur Rahman,4,F,28,11-30-15,57,1298,216.2,2,1762,61,28.88,8.14,21.27,1,0,0.5
A Nortje,8,F,29,11-30-19,46,1054,175.4,1,1574,60,26.23,8.96,17.56,0,0,1
S Gopal,7,I,30,11-30-13,52,991,165.1,1,1349,52,25.94,8.16,19.05,1,0,1
MA Starc,6,F,33,11-30-13,41,831,138.3,1,1137,51,22.29,8.2,16.29,2,0,1.5
LH Ferguson,4,F,32,11-30-16,45,955,159.1,1,1426,46,31,8.95,20.76,1,0,0.5
TU Deshpande,5,I,28,11-30-19,36,773,128.5,0,1243,42,29.59,9.64,18.4,1,0,1
M Markande,3,I,26,11-30-17,37,720,120,0,1069,37,28.89,8.9,19.45,2,0,0.5
DW Steyn,6,F,42,11-30-07,95,2176,362.4,7,2508,97,25.85,6.91,22.43,0,0,1
CH Morris,8,F,37,11-30-12,81,1720,286.4,1,2295,95,24.15,8,18.1,4,0,1.5
SR Watson,8,F,43,11-30-07,145,2029,338.1,3,2682,92,29.15,7.93,22.05,1,0,1.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

